"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00241","RGI2000-v7.0-G-01-00221",0,1,-1,1,1292
"RGI2000-v7.0-L-01-00242","RGI2000-v7.0-G-01-00222",0,1,-1,1,820
"RGI2000-v7.0-L-01-00243","RGI2000-v7.0-G-01-00223",0,1,-1,1,2256
"RGI2000-v7.0-L-01-00244","RGI2000-v7.0-G-01-00224",0,1,-1,1,989
"RGI2000-v7.0-L-01-00245","RGI2000-v7.0-G-01-00225",0,1,-1,1,923
"RGI2000-v7.0-L-01-00246","RGI2000-v7.0-G-01-00226",0,1,-1,1,2901
"RGI2000-v7.0-L-01-00247","RGI2000-v7.0-G-01-00227",0,1,-1,1,388
"RGI2000-v7.0-L-01-00248","RGI2000-v7.0-G-01-00228",0,0,1,1,1276
"RGI2000-v7.0-L-01-00249","RGI2000-v7.0-G-01-00228",1,1,-1,2,4734
"RGI2000-v7.0-L-01-00250","RGI2000-v7.0-G-01-00229",0,1,-1,1,1221
"RGI2000-v7.0-L-01-00251","RGI2000-v7.0-G-01-00230",0,0,3,1,982
"RGI2000-v7.0-L-01-00252","RGI2000-v7.0-G-01-00230",1,0,3,1,626
"RGI2000-v7.0-L-01-00253","RGI2000-v7.0-G-01-00230",2,0,3,1,638
"RGI2000-v7.0-L-01-00254","RGI2000-v7.0-G-01-00230",3,1,-1,2,3762
"RGI2000-v7.0-L-01-00255","RGI2000-v7.0-G-01-00231",0,1,-1,1,581
"RGI2000-v7.0-L-01-00256","RGI2000-v7.0-G-01-00232",0,1,-1,1,281
"RGI2000-v7.0-L-01-00257","RGI2000-v7.0-G-01-00233",0,1,-1,1,3384
"RGI2000-v7.0-L-01-00258","RGI2000-v7.0-G-01-00234",0,1,-1,1,185
"RGI2000-v7.0-L-01-00259","RGI2000-v7.0-G-01-00235",0,1,-1,1,813
"RGI2000-v7.0-L-01-00260","RGI2000-v7.0-G-01-00236",0,0,1,1,401
"RGI2000-v7.0-L-01-00261","RGI2000-v7.0-G-01-00236",1,1,-1,2,657
"RGI2000-v7.0-L-01-00262","RGI2000-v7.0-G-01-00237",0,0,1,1,1364
"RGI2000-v7.0-L-01-00263","RGI2000-v7.0-G-01-00237",1,1,-1,2,1705
"RGI2000-v7.0-L-01-00264","RGI2000-v7.0-G-01-00238",0,1,-1,1,2127
"RGI2000-v7.0-L-01-00265","RGI2000-v7.0-G-01-00239",0,1,-1,1,1734
"RGI2000-v7.0-L-01-00266","RGI2000-v7.0-G-01-00240",0,1,-1,1,524
"RGI2000-v7.0-L-01-00267","RGI2000-v7.0-G-01-00241",0,1,-1,1,1324
"RGI2000-v7.0-L-01-00268","RGI2000-v7.0-G-01-00242",0,1,-1,1,447
"RGI2000-v7.0-L-01-00269","RGI2000-v7.0-G-01-00243",0,1,-1,1,573
"RGI2000-v7.0-L-01-00270","RGI2000-v7.0-G-01-00244",0,1,-1,1,482
"RGI2000-v7.0-L-01-00271","RGI2000-v7.0-G-01-00245",0,1,-1,1,234
"RGI2000-v7.0-L-01-00272","RGI2000-v7.0-G-01-00246",0,1,-1,1,591
"RGI2000-v7.0-L-01-00273","RGI2000-v7.0-G-01-00247",0,1,-1,1,385
"RGI2000-v7.0-L-01-00274","RGI2000-v7.0-G-01-00248",0,1,-1,1,645
"RGI2000-v7.0-L-01-00275","RGI2000-v7.0-G-01-00249",0,1,-1,1,2307
"RGI2000-v7.0-L-01-00276","RGI2000-v7.0-G-01-00250",0,1,-1,1,1058
"RGI2000-v7.0-L-01-00277","RGI2000-v7.0-G-01-00251",0,1,-1,1,744
"RGI2000-v7.0-L-01-00278","RGI2000-v7.0-G-01-00252",0,1,-1,1,306
"RGI2000-v7.0-L-01-00279","RGI2000-v7.0-G-01-00253",0,0,1,1,954
"RGI2000-v7.0-L-01-00280","RGI2000-v7.0-G-01-00253",1,1,-1,2,2669
"RGI2000-v7.0-L-01-00281","RGI2000-v7.0-G-01-00254",0,1,-1,1,570
"RGI2000-v7.0-L-01-00282","RGI2000-v7.0-G-01-00255",0,1,-1,1,844
"RGI2000-v7.0-L-01-00283","RGI2000-v7.0-G-01-00256",0,1,-1,1,1082
"RGI2000-v7.0-L-01-00284","RGI2000-v7.0-G-01-00257",0,1,-1,1,450
